title,institution,domain,ai_type,maturity_stage,status,risk_level,compliance_status,funding_amount_sgd
Ultrasound Coronary Stenosis Risk Model,Institute of Mental Health,Pathology,Computer Vision,Production,Completed,Low,In Progress,277000
ICU Deterioration Optimizer,Changi General Hospital,Pathology,Generative AI,Pilot,Active,Low,Needs Review,197000
Readmission Detector,National Healthcare Group (NHG),Public Health,Time Series,Pilot,Active,Low,Approved,199000
ECG Cancer Recurrence Summarizer,SingHealth,Neurology,Graph ML,Production,On Hold,Low,Approved,412000
Diabetic Retinopathy Monitor,Changi General Hospital,Neurology,NLP,Production,Retired,Medium,Not Started,239000
Kidney Injury Monitor,KK Women's and Children's Hospital,Oncology,NLP,Development,Retired,High,In Progress,69000
Mental Health Relapse Classifier (Pathology Slide),Changi General Hospital,Radiology,Computer Vision,Production,Active,Low,Approved,174000
Ultrasound Stroke Optimizer,KK Women's and Children's Hospital,Surgery,Generative AI,Validation,On Hold,High,In Progress,143000
ICU Deterioration Segmentation Model,National University Health System (NUHS),Emergency Medicine,Graph ML,Production,Active,Medium,Approved,179000
Mental Health Relapse Segmentation Model (Ultrasound),NUS Medicine,Emergency Medicine,Computer Vision,Production,Active,Low,Approved,312000
CXR-based Coronary Stenosis Classifier,Khoo Teck Puat Hospital,Pharmacy,Tabular ML,Production,Active,Low,In Progress,184000
Pneumonia Recommender (ECG),SingHealth,Pharmacy,Graph ML,Production,On Hold,Medium,Approved,185000
Lab Lung Nodule Detector,Changi General Hospital,Emergency Medicine,Graph ML,Ideation,Retired,Low,In Progress,69000
MRI Sepsis Triage Assistant,SingHealth,Emergency Medicine,Reinforcement Learning,Validation,Active,Low,In Progress,212000
Ultrasound-based Breast Lesion Risk Model,A*STAR,ICU,Reinforcement Learning,Production,Active,Medium,In Progress,426000
Length of Stay Detector (X-ray),A*STAR,Public Health,Time Series,Pilot,Active,Medium,Approved,184000
No-show Detector,A*STAR,Pathology,Computer Vision,Pilot,Active,Medium,Approved,174000
Ultrasound-based No-show Recommender,Khoo Teck Puat Hospital,Cardiology,Graph ML,Development,On Hold,Medium,Approved,90000
Readmission Segmentation Model (CT),Changi General Hospital,Operations,Time Series,Ideation,On Hold,Medium,Needs Review,80000
Readmission Monitor (CXR),Institute of Mental Health,General Medicine,Computer Vision,Pilot,Active,High,Approved,192000
Lab-based Sepsis Recommender,Changi General Hospital,Pharmacy,Tabular ML,Pilot,Active,Medium,Needs Review,287000
ICU Deterioration Summarizer,Khoo Teck Puat Hospital,Pharmacy,Time Series,Pilot,Retired,Medium,Needs Review,320000
Kidney Injury Summarizer,Khoo Teck Puat Hospital,ICU,Reinforcement Learning,Validation,Active,Medium,Needs Review,163000
X-ray-based Sepsis Segmentation Model,National Healthcare Group (NHG),Cardiology,Graph ML,Production,Active,Medium,Approved,164000
Ultrasound Falls Risk Optimizer,Changi General Hospital,Neurology,Time Series,Production,On Hold,Medium,Needs Review,232000
Readmission Monitor (CT),National University Health System (NUHS),Oncology,Graph ML,Production,On Hold,Low,In Progress,269000
Pathology Slide-based Mental Health Relapse Classifier,Khoo Teck Puat Hospital,ICU,Time Series,Validation,Completed,Medium,Approved,159000
X-ray-based Falls Risk Alerting System,A*STAR,ICU,NLP,Production,Active,High,Needs Review,278000
MRI-based Kidney Injury Summarizer,National Healthcare Group (NHG),Emergency Medicine,Tabular ML,Production,Active,Low,Needs Review,339000
MRI-based Length of Stay Monitor,Singapore General Hospital,Dermatology,Generative AI,Development,Active,Medium,Approved,156000
CT No-show Alerting System,Khoo Teck Puat Hospital,Emergency Medicine,Tabular ML,Pilot,Completed,High,Needs Review,359000
Ultrasound-based Falls Risk Summarizer,National Healthcare Group (NHG),Surgery,Time Series,Ideation,Active,Medium,In Progress,97000
